nodes_number,max_capacity,num_edges,source node,sink node,experiments,mean_time_fifo,std_time_fifo,max_flow_list_fifo,mean_time_sapa,std_time_sapa,max_flow_list_sapa
1000,100,2000,0,999,5,0.002929019927978516,0.001614120463456409,"[0, 0, 0, 0, 0]",0.06526951789855957,0.0038912545184025525,"[0, 0, 0, 0, 0]"
1000,150,2000,0,999,5,1.3037274360656739,0.036287786047761984,"[55, 55, 55, 55, 55]",0.6956914901733399,0.026374285480492938,"[55, 55, 55, 55, 55]"
1000,200,2000,0,999,5,1.2677844524383546,0.03475363694440543,"[172, 172, 172, 172, 172]",0.8173418521881104,0.23918992179041595,"[172, 172, 172, 172, 172]"
1000,250,2000,0,999,5,1.499277114868164,0.3804341951654759,"[128, 128, 128, 128, 128]",0.6916266918182373,0.013136065660145814,"[128, 128, 128, 128, 128]"
1000,300,2000,0,999,5,1.255207633972168,0.013765505160924485,"[0, 0, 0, 0, 0]",0.6695868015289307,0.009458036390953073,"[0, 0, 0, 0, 0]"
1000,350,2000,0,999,5,0.009632110595703125,0.0011524819612679605,"[64, 64, 64, 64, 64]",0.06873984336853027,0.003556952925856504,"[64, 64, 64, 64, 64]"
1000,400,2000,0,999,5,1.2204941272735597,0.018974245606228613,"[287, 287, 287, 287, 287]",0.6477806091308593,0.007556752845110173,"[287, 287, 287, 287, 287]"
1000,450,2000,0,999,5,0.002170419692993164,0.0009004107182199436,"[0, 0, 0, 0, 0]",0.06254549026489258,0.004805793885919514,"[0, 0, 0, 0, 0]"
1000,500,2000,0,999,5,1.229843521118164,0.020233767449353075,"[62, 62, 62, 62, 62]",0.6411247730255127,0.0074567656401639815,"[62, 62, 62, 62, 62]"
2000,100,4000,0,1999,5,0.028639459609985353,0.0020737955205575717,"[49, 49, 49, 49, 49]",0.2563357353210449,0.015230408355814318,"[49, 49, 49, 49, 49]"
2000,150,4000,0,1999,5,5.598126697540283,0.8641683988727298,"[92, 92, 92, 92, 92]",4.966123628616333,0.10200375933778776,"[92, 92, 92, 92, 92]"
2000,200,4000,0,1999,5,7.830825567245483,1.8233318832065555,"[0, 0, 0, 0, 0]",2.9299049854278563,0.04669798808655489,"[0, 0, 0, 0, 0]"
2000,250,4000,0,1999,5,0.004831171035766602,0.0017981516123129334,"[0, 0, 0, 0, 0]",0.29051513671875,0.013719798823900191,"[0, 0, 0, 0, 0]"
2000,300,4000,0,1999,5,0.0066967964172363285,0.008819518402570342,"[0, 0, 0, 0, 0]",0.2434993267059326,0.011765698906834848,"[0, 0, 0, 0, 0]"
2000,350,4000,0,1999,5,0.004369115829467774,0.0015714141642819918,"[0, 0, 0, 0, 0]",0.29648656845092775,0.021298436122050176,"[0, 0, 0, 0, 0]"
2000,400,4000,0,1999,5,9.609857273101806,0.1737125799984466,"[11, 11, 11, 11, 11]",4.850073528289795,0.27003573744304926,"[11, 11, 11, 11, 11]"
2000,450,4000,0,1999,5,0.0389162540435791,0.002227520358692666,"[370, 370, 370, 370, 370]",0.5171281337738037,0.07136409598560996,"[370, 370, 370, 370, 370]"
